original_filename,service_file,material_index_file,type,materials,objects,colors,image_path
AMC 1.png,AMC.png,object__matte-paper__document-sheet.png,object,matte-paper,document-sheet,white-navy-grey,references/archive/PNGs_renamed/AMC.png
Category icon_Air cooler repair 1.png,Air cooler repair.png,appliance__matte-plastic__evaporative-air-cooler.png,appliance,matte-plastic,evaporative-air-cooler,white-grey,references/archive/PNGs_renamed/Air cooler repair.png
Category icon_Air purifier repair 1.png,Air purifier repair.png,appliance__matte-plastic__air-purifier-tower.png,appliance,matte-plastic,air-purifier-tower,white-grey-black,references/archive/PNGs_renamed/Air purifier repair.png
Category icon_Ant control 1.png,Ant control.png,composite__glossy-plastic__ant-prohibition-sign.png,composite,glossy-plastic,ant-prohibition-sign,grey-red-black,references/archive/PNGs_renamed/Ant control.png
Category icon_Ant control-1 1.png,Termite control.png,composite__matte-chitin__termite-prohibition-sign.png,composite,matte-chitin,termite-prohibition-sign,tan-red-brown,references/archive/PNGs_renamed/Termite control.png
Category icon_Bathroom cleaning Dubai 1.png,Bathroom cleaning (Dubai).png,object__glossy-ceramic__toilet-bowl-lid-up.png,object,glossy-ceramic,toilet-bowl-lid-up,white,references/archive/PNGs_renamed/Bathroom cleaning (Dubai).png
Category icon_Bed bugs control 1.png,Bed bugs control.png,composite__glossy-chitin__bedbug-prohibition-sign.png,composite,glossy-chitin,bedbug-prohibition-sign,brown-red,references/archive/PNGs_renamed/Bed bugs control.png
Category icon_Car care and detailing 1.png,Car care and detailing.png,object__glossy-paint-rubber-chrome__sedan-car-side.png,object,glossy-paint-rubber-chrome,sedan-car-side,blue-black-silver,references/archive/PNGs_renamed/Car care and detailing.png
Category icon_Carpenter 1.png,Carpenter.png,composite__wood-glossy-plastic__cabinet-power-drill.png,composite,wood-glossy-plastic,cabinet-power-drill,tan-yellow-black,references/archive/PNGs_renamed/Carpenter.png
Category icon_Cockroach control 1.png,Cockroach control.png,composite__glossy-chitin__cockroach-prohibition-sign.png,composite,glossy-chitin,cockroach-prohibition-sign,brown-red,references/archive/PNGs_renamed/Cockroach control.png
Category Icon_Couples massage_Dubai 1.png,Couples massage (Dubai).png,furniture__leather-wood-cotton__two-massage-tables-towels.png,furniture,leather-wood-cotton,two-massage-tables-towels,black-pink-brown-white,references/archive/PNGs_renamed/Couples massage (Dubai).png
Category icon_Electrician Dubai 1.png,Electrician (Dubai).png,composite__matte-plastic-brass__wall-socket-switch-flathead-screwdriver.png,composite,matte-plastic-brass,wall-socket-switch-flathead-screwdriver,white-red-brass,references/archive/PNGs_renamed/Electrician (Dubai).png
Category icon_Fan installation 1.png,Fan installation.png,appliance__matte-metal__ceiling-fan-3blade.png,appliance,matte-metal,ceiling-fan-3blade,maroon-brown,references/archive/PNGs_renamed/Fan installation.png
Category icon_Festive lights installation 1.png,Festive lights installation.png,composite__matte-metal-glass__balcony-railing-string-lights.png,composite,matte-metal-glass,balcony-railing-string-lights,black-yellow-grey,references/archive/PNGs_renamed/Festive lights installation.png
Category icon_Festive lights installation Dubai 1.png,Festive lights installation (Dubai).png,object__glass-matte-metal-tile__glass-balustrade-railing.png,object,glass-matte-metal-tile,glass-balustrade-railing,clear-black-grey,references/archive/PNGs_renamed/Festive lights installation (Dubai).png
Category Icon_Fitness & yoga trainers_Dubai 1.png,Fitness & yoga trainers (Dubai).png,object__matte-rubber-brushed-steel__dumbbell.png,object,matte-rubber-brushed-steel,dumbbell,grey-charcoal,references/archive/PNGs_renamed/Fitness & yoga trainers (Dubai).png
Category icon_Furniture assembly 1.png,Furniture assembly.png,furniture__wood-metal__open-shelf-cabinet-frame-side-panel.png,furniture,wood-metal,open-shelf-cabinet-frame-side-panel,tan-wood-silver,references/archive/PNGs_renamed/Furniture assembly.png
Category icon_Geyser 1.png,Geyser.png,appliance__brushed-steel-plastic__water-heater-geyser-cylinder.png,appliance,brushed-steel-plastic,water-heater-geyser-cylinder,white-silver-red-green,references/archive/PNGs_renamed/Geyser.png
Category icon_Hair studio for women 1.png,Hair studio for women.png,appliance__matte-plastic__hair-dryer.png,appliance,matte-plastic,hair-dryer,lavender-purple-pink,references/archive/PNGs_renamed/Hair studio for women.png
Category Icon_Handymen Dubai 1.png,Handymen (Dubai).png,composite__matte-plastic-metal__toolbox-wrench.png,composite,matte-plastic-metal,toolbox-wrench,red-white,references/archive/PNGs_renamed/Handymen (Dubai).png
Category icon_IKEA furniture assembly 1.png,IKEA furniture assembly.png,furniture__matte-wood__chest-of-drawers-dresser.png,furniture,matte-wood,chest-of-drawers-dresser,pale-pink-beige,references/archive/PNGs_renamed/IKEA furniture assembly.png
Category icon_Kitchen cleaning-1 1.png,Kitchen cleaning.png,appliance__brushed-steel-glass__kitchen-chimney-range-hood.png,appliance,brushed-steel-glass,kitchen-chimney-range-hood,silver-black,references/archive/PNGs_renamed/Kitchen cleaning.png
Category icon_Laptop repair 1.png,Laptop repair.png,appliance__brushed-aluminum-glass__laptop-open.png,appliance,brushed-aluminum-glass,laptop-open,silver-black,references/archive/PNGs_renamed/Laptop repair.png
