original_filename,service_file,material_index_file,type,materials,objects,colors,asset_id,image_path,sha256,source_role,approval_status,provenance_source,material_tags,finish_tags
AMC 1.png,AMC.png,object__matte-paper__document-sheet.png,object,matte-paper,document-sheet,white-navy-grey,uc-icon-336f605cae58dc4a,references/archive/PNGs_renamed/AMC.png,336f605cae58dc4aad2bd9fba78e1ce1eca45063be904220826537461c63ad53,service_asset,existing_curated,bundled_uc_icon_archive,paper,matte
Category icon_Air cooler repair 1.png,Air cooler repair.png,appliance__matte-plastic__evaporative-air-cooler.png,appliance,matte-plastic,evaporative-air-cooler,white-grey,uc-icon-994c87c3a2fd0912,references/archive/PNGs_renamed/Air cooler repair.png,994c87c3a2fd0912c672b212d971b1996c1cf676f512f03688d4cc1bc88f5422,service_asset,existing_curated,bundled_uc_icon_archive,plastic,matte
Category icon_Air purifier repair 1.png,Air purifier repair.png,appliance__matte-plastic__air-purifier-tower.png,appliance,matte-plastic,air-purifier-tower,white-grey-black,uc-icon-fdda9cd1cfcb0917,references/archive/PNGs_renamed/Air purifier repair.png,fdda9cd1cfcb0917f8d125057693b53853921d43e5a98ae0081ae7d1a261b082,service_asset,existing_curated,bundled_uc_icon_archive,plastic,matte
Category icon_Ant control 1.png,Ant control.png,composite__glossy-plastic__ant-prohibition-sign.png,composite,glossy-plastic,ant-prohibition-sign,grey-red-black,uc-icon-f51eeac88fb12c75,references/archive/PNGs_renamed/Ant control.png,f51eeac88fb12c759927cee746f4003d4c80ad6b2d9a73449c9afcf78909e0d6,service_asset,existing_curated,bundled_uc_icon_archive,plastic,glossy
Category icon_Ant control-1 1.png,Termite control.png,composite__matte-chitin__termite-prohibition-sign.png,composite,matte-chitin,termite-prohibition-sign,tan-red-brown,uc-icon-8274614d48d7c997,references/archive/PNGs_renamed/Termite control.png,8274614d48d7c9974349345fb93e035e3cc896b9f506c2b4c623aff221943e25,service_asset,existing_curated,bundled_uc_icon_archive,chitin,matte
Category icon_Bathroom cleaning Dubai 1.png,Bathroom cleaning (Dubai).png,object__glossy-ceramic__toilet-bowl-lid-up.png,object,glossy-ceramic,toilet-bowl-lid-up,white,uc-icon-73a2398a657b1138,references/archive/PNGs_renamed/Bathroom cleaning (Dubai).png,73a2398a657b1138858b7613a8fef4738c9ea526242e23187497c3d3a4725d1e,service_asset,existing_curated,bundled_uc_icon_archive,ceramic,glossy
Category icon_Bed bugs control 1.png,Bed bugs control.png,composite__glossy-chitin__bedbug-prohibition-sign.png,composite,glossy-chitin,bedbug-prohibition-sign,brown-red,uc-icon-169441667e5b16d0,references/archive/PNGs_renamed/Bed bugs control.png,169441667e5b16d03e48cc3788f4ac0fbb06523d708aa09c8ea2c5e2b29cf3d7,service_asset,existing_curated,bundled_uc_icon_archive,chitin,glossy
Category icon_Car care and detailing 1.png,Car care and detailing.png,object__glossy-paint-rubber-chrome__sedan-car-side.png,object,glossy-paint-rubber-chrome,sedan-car-side,blue-black-silver,uc-icon-61005e4bc97faae1,references/archive/PNGs_renamed/Car care and detailing.png,61005e4bc97faae12d4a727572d85846730663141d35dc946b0aaf1b11c2825f,service_asset,existing_curated,bundled_uc_icon_archive,rubber;chrome,glossy;painted
Category icon_Carpenter 1.png,Carpenter.png,composite__wood-glossy-plastic__cabinet-power-drill.png,composite,wood-glossy-plastic,cabinet-power-drill,tan-yellow-black,uc-icon-94137079665ba9d4,references/archive/PNGs_renamed/Carpenter.png,94137079665ba9d4ba6316e0a56424ec6f522487725b7d66e673b544cc41b049,service_asset,existing_curated,bundled_uc_icon_archive,wood;plastic,glossy
Category icon_Cockroach control 1.png,Cockroach control.png,composite__glossy-chitin__cockroach-prohibition-sign.png,composite,glossy-chitin,cockroach-prohibition-sign,brown-red,uc-icon-f2cdb41b7a8f620a,references/archive/PNGs_renamed/Cockroach control.png,f2cdb41b7a8f620a5cb5c94d5f719fd9b06d2101ea52af64ff1ea96c22bce317,service_asset,existing_curated,bundled_uc_icon_archive,chitin,glossy
