character_id,display_name,gender,eye_state,canonical_for,aliases,market,image_path,sha256
base-female-eyes-open,Female base eyes open,female,open,character-base,"female base;woman base;female character;female chef;woman chef;female cook;maid;helper woman",global,references/archive/PNGs_renamed/Avatar base - female (eyes open).png,d4fae5396b6e3368a45dd3924e7cb3d80b741a03dab1b009badcaebf22316526
base-female-eyes-closed,Female base eyes closed,female,closed,character-base,"female eyes closed;woman eyes closed;female spa;woman spa",global,references/archive/PNGs_renamed/Avatar base - female (eyes closed).png,3261a505e93a54e86f446c1dd145dcef3147e0cfaabcbd5cd16fc514c71e0671
base-male-eyes-open,Male base eyes open,male,open,character-base,"male base;man base;male character;male chef;man chef;male cook;technician man;driver man",global,references/archive/PNGs_renamed/Avatar base - male (eyes open).png,1131280a52497148f680fb2c9f6cecd6775207479ba46463360c4a1b00edc3e5
base-male-eyes-closed,Male base eyes closed,male,closed,character-base,"male eyes closed;man eyes closed;male spa;man spa",global,references/archive/PNGs_renamed/Avatar base - male (eyes closed).png,b59c6dcfcab89fef7b3b4ec433a9cdb1e135a9a7b46b581b008b0371958e0442
female-salon-spa,Women's salon and spa,female,closed,salon-spa,"female salon spa;womens salon spa;woman spa",Dubai,references/archive/PNGs_renamed/Womens salon & spa (Dubai).png,2c25b1cb7fdc91c23ef3b08d87948b6a13ad08645906b4e015d1877fc853d484
insta-help-india,InstaHelp India,female,open,domestic-help,"insta help;instahelp;maid india;helper india",India,references/archive/PNGs_renamed/Insta help (India).png,55f8e229c6eb7fe6d7007b8d66b82611c89a201d9cfefe709f0b9dba0b27f6de
live-in-maid-dubai,Live-in maid Dubai,female,open,domestic-help,"maid for rent live in dubai;maid for rent live in;live in maid;live-in maid;live in helper;maid with house",Dubai,references/archive/PNGs_renamed/Live-in help (Dubai).png,02cf301d8752fe581e056deb0a78c0fd9d58a9beea8465af18f50c0ccb940097
luxury-female-salon-spa,Luxury women's salon and spa,female,closed,salon-spa,"luxury female salon spa;luxury womens salon spa",Dubai,references/archive/PNGs_renamed/Luxury Womens salon & spa (Dubai).png,6211052da83ced6b3267fc908cc5fe0529b448dcb68ec8170289990f4baec959
maid-dubai,Maid Dubai,female,open,domestic-help,"maid dubai;uae maid;maid for rent;maid for rent dubai;all in one help;blue uniform maid",Dubai,references/archive/PNGs_renamed/All in one help (Dubai).png,7de24967372dea1aa792be942b99b724912513df89b6ebabfb5a2cef2ad3e587
male-salon-massage,Men's salon and massage,male,closed,salon-spa,"male salon;mens salon;men massage",Dubai,references/archive/PNGs_renamed/Mens salon & massage (Dubai).png,aa0caac7e86c41998df727b3d3a26b0049cf2530c8f000c7cb998ec07806042d
premium-helper,Premium helper,female,open,domestic-help,"premium helper;luxe helper;black gold helper",global,references/archive/PNGs_renamed/Premium helper (Dubai).png,138e0bd2a2d772e57b659a04eadf710a6ec7e01b456e74eb7a1e7588a9380401
